Methods,sensitivity,specificity,precision,Datasets,Disease
PLAGE,1,0,0.030888031,GSE14924_CD4,Acute myeloid leukemia
ZSCORE,0.125,0.782945736,0.01754386,GSE14924_CD4,Acute myeloid leukemia
SSGSEA,0.875,0.297619048,0.038043478,GSE14924_CD4,Acute myeloid leukemia
GSVA,0.125,0.531007752,0.008196721,GSE14924_CD4,Acute myeloid leukemia
GRAPE,1,0.003984064,0.031007752,GSE14924_CD4,Acute myeloid leukemia
PLAGE,1,0.119521912,0.034934498,GSE14924_CD8,Acute myeloid leukemia
ZSCORE,0.125,0.903100775,0.038461538,GSE14924_CD8,Acute myeloid leukemia
SSGSEA,0.125,0.748062016,0.015151515,GSE14924_CD8,Acute myeloid leukemia
GSVA,0.125,0.879844961,0.03125,GSE14924_CD8,Acute myeloid leukemia
GRAPE,1,0.043824701,0.032258065,GSE14924_CD8,Acute myeloid leukemia
PLAGE,0.375,0.63671875,0.03125,GSE9476,Acute myeloid leukemia
ZSCORE,0.25,0.789883268,0.035714286,GSE9476,Acute myeloid leukemia
SSGSEA,0,0.737451737,0,GSE9476,Acute myeloid leukemia
GSVA,0.375,0.75,0.044776119,GSE9476,Acute myeloid leukemia
GRAPE,1,0.047808765,0.032388664,GSE9476,Acute myeloid leukemia
PLAGE,0.111111111,0.852713178,0.025641026,GSE5281_EC,Alzheimier's disease
ZSCORE,0.222222222,0.649805447,0.02173913,GSE5281_EC,Alzheimier's disease
SSGSEA,0.444444444,0.407843137,0.025806452,GSE5281_EC,Alzheimier's disease
GSVA,0.333333333,0.6484375,0.032258065,GSE5281_EC,Alzheimier's disease
GRAPE,1,0.016,0.035294118,GSE5281_EC,Alzheimier's disease
PLAGE,1,0.012,0.03515625,GSE5281_HIP,Alzheimier's disease
ZSCORE,0.777777778,0.492063492,0.051851852,GSE5281_HIP,Alzheimier's disease
SSGSEA,0.666666667,0.56916996,0.052173913,GSE5281_HIP,Alzheimier's disease
GSVA,0.555555556,0.641732283,0.052083333,GSE5281_HIP,Alzheimier's disease
GRAPE,1,0.016,0.035294118,GSE5281_HIP,Alzheimier's disease
PLAGE,1,0.016,0.035294118,GSE5281_VCX,Alzheimier's disease
ZSCORE,0.222222222,0.645914397,0.021505376,GSE5281_VCX,Alzheimier's disease
SSGSEA,0.666666667,0.446640316,0.04109589,GSE5281_VCX,Alzheimier's disease
GSVA,0,0.826254826,0,GSE5281_VCX,Alzheimier's disease
GRAPE,1,0.004,0.034883721,GSE5281_VCX,Alzheimier's disease
PLAGE,0,0.965250965,0,GSE16759,Alzheimier's disease
ZSCORE,0,0.94980695,0,GSE16759,Alzheimier's disease
SSGSEA,0,0.911196911,0,GSE16759,Alzheimier's disease
GSVA,0.111111111,0.926356589,0.05,GSE16759,Alzheimier's disease
GRAPE,0.222222222,0.688715953,0.024390244,GSE16759,Alzheimier's disease
PLAGE,1,0.064,0.037037037,GSE1297,Alzheimier's disease
ZSCORE,0.444444444,0.694117647,0.048780488,GSE1297,Alzheimier's disease
SSGSEA,0.222222222,0.688715953,0.024390244,GSE1297,Alzheimier's disease
GSVA,0.333333333,0.7421875,0.043478261,GSE1297,Alzheimier's disease
GRAPE,1,0.04,0.036144578,GSE1297,Alzheimier's disease
PLAGE,0.285714286,0.844357977,0.047619048,GSE24739_G0,Chronic myeloid leukemia
ZSCORE,0.285714286,0.856031128,0.051282051,GSE24739_G0,Chronic myeloid leukemia
SSGSEA,0.571428571,0.580392157,0.036036036,GSE24739_G0,Chronic myeloid leukemia
GSVA,0.571428571,0.756862745,0.060606061,GSE24739_G0,Chronic myeloid leukemia
GRAPE,1,0,0.027027027,GSE24739_G0,Chronic myeloid leukemia
PLAGE,0,0.957528958,0,GSE24739_G1,Chronic myeloid leukemia
ZSCORE,0,0.94980695,0,GSE24739_G1,Chronic myeloid leukemia
SSGSEA,0,0.857142857,0,GSE24739_G1,Chronic myeloid leukemia
